node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress
Znf384,5,0.30898,3,6,10.341,1,0.2,243.36667,4.23529,2.73814,156
Grhl2,24,0.2864,9,16,28.47,1,0.2,284.2,4.60526,165.86512,5306
Grhl1,53,0.45045,14,21,32.085,1,0.2,268.61667,4.44427,69.47638,3766
Mef2c,277,0.41958,47,58,81.195,2,0.25,325.41667,4.89009,2166.74735,110788
Mef2a,458,0.42216,54,71,84.531,6,0.25,334.58333,4.93189,2563.10164,81876
Nr2f2,30,0.22992,13,21,32.811,1,0.25,293.91667,4.67957,128.76055,5968
Cebpg,214,0.67149,36,49,76.846,1,0.2,314.11667,4.81424,207.31828,17622
Atf4,8,0.56839,4,11,22.699,1,0.2,275.95,4.5418,30.95237,1702
Tbx20,566,0.40396,51,57,81.492,3,0.33333,329.66667,4.90867,758.27053,42342
Tbp,9,0.30898,3,11,13.485,3,0.2,256.61667,4.35604,163.73511,5488
Atf3,66,0.56412,27,48,71.723,1,0.25,303.58333,4.73375,633.6097,31070
Hlf,111,0.36681,30,51,68.173,1,0.25,311.58333,4.80805,311.63512,22796
Zkscan5,1441,0.39205,52,60,81.044,2,0.2,334.95,4.95511,796.48003,33328
Gcm1,118,0.18495,30,38,50.333,4,0.25,308.91667,4.77399,512.69906,15090
Batf3,25,0.26715,17,23,38.293,1,0.25,302.25,4.74923,143.98032,6022
Pou4f3,6,0.61795,3,7,15.071,1,0.25,258.41667,4.37152,5.31325,582
Pou4f1,31,0.24269,13,18,31.601,1,0.25,284.41667,4.60681,41.65427,2500
Pou4f2,28,0.71599,9,9,21.168,1,0.25,278.91667,4.57121,6.32659,750
Rara,209,0.35355,32,44,55.074,1,0.25,307.58333,4.75851,703.40837,27152
Zscan4,7,0.92336,2,16,28.049,3,0.25,262.5,4.41486,1959.80569,338884
Olig3,6,0.30779,2,7,15.243,1,0.25,259.08333,4.39009,7.03656,758
Olig1,22,0.20362,11,15,22.676,1,0.25,286.33333,4.62693,53.78947,2562
Bhlhe23,3,0,1,3,3.808,1,0.25,240.83333,4.21827,1.63564,170
Olig2,5,0.6123,8,15,35.355,1,0.25,280.16667,4.58204,19.01759,4014
Twist2,16,0.28863,20,28,45.305,1,0.25,315.41667,4.87152,245.91146,16312
Neurog1,6,0.30779,2,10,17.396,1,0.25,265.75,4.45666,15.97352,1174
Prox1,96,0.44594,24,51,64.743,1,0.33333,302.33333,4.70743,1130.91362,61328
Ewsr1-fli1,5,0.30898,3,4,9.42,1,0.25,251.16667,4.31889,1.63069,148
Foxa3,15,0.47733,9,12,21.141,1,0.25,289.58333,4.65944,23.20802,1762
Foxe1,3,0,1,3,4.112,1,0.25,229.58333,4.09288,312.16897,22788
Foxp3,3,0.37893,4,7,17.866,1,0.25,276.83333,4.55573,4.18059,404
Foxo6,1949,0.38847,81,118,118.255,3,0.25,351.41667,5.02012,2483.96058,134762
Foxo4,3,0.37893,4,7,16.412,1,0.25,276.83333,4.55573,4.18059,404
